,0
fp_231,0.054079890087777645
MolWt,0.05319994724140813
fp_333,0.048157468396144376
LogP,0.04667372948942897
TPSA,0.02491946853300728
fp_458,0.02368114503668086
fp_34,0.023679239393521116
fp_225,0.01596848761682171
fp_417,0.013201770661037577
HBA,0.009011475054678765
fp_514,0.008598670897159731
fp_397,0.008295875944295367
fp_887,0.007008845756787793
fp_121,0.006866838174197596
fp_1019,0.006806282662099762
fp_386,0.006524242680276797
fp_439,0.00611792234640319
fp_479,0.006042788557405726
HBD,0.005956605904149488
fp_885,0.005879307658278181
